480	1.040383818	2.549587906
490	1.035622719	2.577676166
500	1.0292166	2.600958825
510	1.01596237	2.610628188
520	0.995463808	2.613856957
530	0.957525814	2.60358516
540	0.896412084	2.584135179
550	0.79745994	2.56420404
560	0.649913539	2.566649101
570	0.467667795	2.633707115
580	0.308052581	2.774526337
590	0.206477543	2.953105649
600	0.15342929	3.124794481
610	0.129738592	3.28082796
620	0.116677068	3.422223479
630	0.110069919	3.546563885
640	0.107194012	3.666809315
650	0.104232496	3.775693898
660	0.102539467	3.879628119
670	0.102449402	3.981770445
680	0.101216009	4.082308744
690	0.101603953	4.175083635
700	0.101236908	4.27062629
710	0.101557633	4.365353818
720	0.101132194	4.453675754
730	0.100848965	4.541494304
740	0.100919789	4.632837662
750	0.101173963	4.718605321
760	0.101837799	4.806908667
770	0.101672055	4.890330992
780	0.104166566	4.985764803
790	0.10154611	5.058785587
800	0.105089997	5.141307607
810	0.105640925	5.225721003
820	0.1047717	5.314412207
830	0.108065424	5.399044187
840	0.106329275	5.471682183
850	0.106803015	5.558363688
860	0.10806138	5.64355183
870	0.109423947	5.718126756
880	0.109226995	5.799390531
890	0.110739052	5.87326682
900	0.111474071	5.957887752
910	0.110565481	6.04212088
920	0.114354773	6.114742596
930	0.115741932	6.194384247
940	0.116243076	6.272201563
950	0.11651561	6.352367739
960	0.117227546	6.433641449
970	0.117612103	6.506983372
980	0.1200286	6.588429772
990	0.120693135	6.665250695
1000	0.123314675	6.744939326
